word,replacement
bitch,b***h
nigga,ninja
spazzin,freaking
retard,r****d
fuck,frick
shit,poop
nigger,ninja
cunt,c**t
rape,r***
bloody,b****y
jew,guy
jews,guys
weed,w**d
coke,c**e
heroin,h****n
ass,bum
cock,c**k
faggot,maggot
nixga,ninja
pussy,p**sy
dick,d**k
gay, g*y
